TR10108-9	Catecholamines	Chem	ACTIVE	\N	\N	\N	100000.370.000
TR10109-7	Catecholamines Fractionation	Chem	ACTIVE	\N	\N	\N	100000.365.000
TR10110-5	Arylsulfatase A	Chem	ACTIVE	2014-02-07	\N	\N	100000.477.000
TR10111-3	7-Dehydrocholesterol	Chem	ACTIVE	\N	\N	\N	100000.214.000
TR10112-1	Ceruloplasmin	Chem	ACTIVE	\N	\N	\N	100000.386.900
TR10113-9	Chloral Hydrate	Chem	ACTIVE	\N	\N	\N	\N
TR10114-7	Chloramphenicol	Chem	ACTIVE	\N	\N	\N	\N
TR10115-4	Chlordiazepoxide	Chem	ACTIVE	\N	\N	\N	\N
TR10116-2	Chloride	Chem	ACTIVE	\N	\N	\N	100000.153.000
TR10117-0	Chloroquine	Chem	ACTIVE	\N	\N	\N	\N
TR10118-8	Chlorpromazine	Chem	ACTIVE	2011-07-01	\N	\N	\N
TR10119-6	Chlorpropamide	Chem	ACTIVE	\N	\N	\N	\N
TR10120-4	Cholesterol	Chem	ACTIVE	\N	\N	\N	100000.302.000
TR10121-2	Cholesterol Esters	Chem	ACTIVE	\N	\N	\N	\N
TR10122-0	Acetaminophen	Chem	ACTIVE	\N	\N	\N	100000.501.000
TR10123-8	Cholinesterase	Chem	ACTIVE	\N	\N	\N	100000.282.000
TR10124-6	Cholinesterase Phenotype	Chem	ACTIVE	\N	\N	\N	100000.283.000
TR10125-3	Choriomammotropin	Chem	ACTIVE	\N	\N	\N	\N
TR10126-1	Choriogonadotropin	Chem	ACTIVE	\N	\N	\N	100000.245.000
TR10127-9	Choriogonadotropin Screen	Chem	ACTIVE	2022-12-15	\N	\N	100000.245.200
TR10128-7	Chromium	Chem	ACTIVE	\N	\N	\N	100000.383.000
TR10129-5	Chymotrypsin	Chem	ACTIVE	\N	\N	\N	\N
TR10130-3	Cimetidine	Chem	ACTIVE	\N	\N	\N	\N
TR10131-1	Citrate	Chem	ACTIVE	\N	\N	\N	100000.184.500
TR10132-9	Clobazam	Chem	ACTIVE	\N	\N	\N	100000.508.000
TR10133-7	Clomipramine	Chem	ACTIVE	\N	\N	\N	100000.555.000
