3320	SCC	Hospitals In-Common Laboratory Inc.	60 Grosvenor Street	\N	Toronto	M5S 1B6	2.16.840.1.113883.3.59.2	ACTIVE
3323	SCC	St. Michael's Hospital Health Centre at 410	410 Sherbourne Street, 1st Floor	\N	Toronto	M4X 1K2	2.16.840.1.113883.3.59.2	ACTIVE
3325	SCC	LifeLabs	1436 Royal York Road	\N	Etobicoke	M9P 3A9	2.16.840.1.113883.3.59.2	ACTIVE
3327	SCC	LifeLabs	14 College Street	\N	Toronto	M5G 1K2	2.16.840.1.113883.3.59.2	ACTIVE
3328	SCC	LifeLabs	6 McPherson Street	\N	Minden	K0M 2K0	2.16.840.1.113883.3.59.2	ACTIVE
3329	SCC	LifeLabs	167 Hespeler Road	\N	Cambridge	N1R 3H7	2.16.840.1.113883.3.59.2	ACTIVE
3332	SCC	LifeLabs	99 Northfield Drive East	\N	Waterloo	N2K 3P9	2.16.840.1.113883.3.59.2	ACTIVE
3333	SCC	LifeLabs	140 Oxford Street East	\N	London	N6A 1T3	2.16.840.1.113883.3.59.2	ACTIVE
3334	SCC	LifeLabs	581 Davis Drive	\N	Newmarket	L3Y 2P6	2.16.840.1.113883.3.59.2	ACTIVE
3335	SCC	LifeLabs	339 Wellington Road South	\N	London	N6C 5C3	2.16.840.1.113883.3.59.2	ACTIVE
3336	SCC	LifeLabs	2221 Keele Street	\N	North York	M6M 3Z5	2.16.840.1.113883.3.59.2	ACTIVE
3343	SCC	LifeLabs	679 Davis Drive	Suite # 123	Newmarket	L3Y 5G8	2.16.840.1.113883.3.59.2	ACTIVE
3344	SCC	LifeLabs	2009 Long Lake Road	\N	Sudbury	P3E 6C3	2.16.840.1.113883.3.59.2	ACTIVE
3345	SCC	LifeLabs	1007 Fennell Avenue East	\N	Hamilton	L8T 1R1	2.16.840.1.113883.3.59.2	ACTIVE
3346	SCC	LifeLabs	245 Pelham Road	\N	St. Catharines	L2S 1X8	2.16.840.1.113883.3.59.2	ACTIVE
3349	SCC	LifeLabs	222A Catherine Street	\N	Port Colborne	L3K 4K8	2.16.840.1.113883.3.59.2	ACTIVE
3361	SCC	Eglinton Diagnostic Laboratories Limited	235 Danforth Avenue	\N	Toronto	M4K 1N2	2.16.840.1.113883.3.59.2	ACTIVE
3365	SCC	LifeLabs	95 Spring Street	\N	Almonte	K0A 1A0	2.16.840.1.113883.3.59.2	ACTIVE
3378	SCC	LifeLabs	238 Grand River Road North	\N	Paris	N3L 2N7	2.16.840.1.113883.3.59.2	ACTIVE
3387	SCC	LifeLabs	190 Sherway Drive	Suite 108	Etobicoke	M9C 5N2	2.16.840.1.113883.3.59.2	ACTIVE
3388	SCC	LifeLabs	250 Lawrence Avenue West	\N	Toronto	M5M 1B2	2.16.840.1.113883.3.59.2	ACTIVE
3403	SCC	Med-Health Laboratories Limited	4640 Jane Street	\N	North York	M3N 2K5	2.16.840.1.113883.3.59.2	ACTIVE
3404	SCC	Hospitals In-Common Laboratory Inc.	8 Taylor Road	\N	Bracebridge	P1L 1S6	2.16.840.1.113883.3.59.2	ACTIVE
3407	SCC	LifeLabs	99 Wayne Gretzky Parkway	\N	Brantford	N3S 7P1	2.16.840.1.113883.3.59.2	ACTIVE
3408	SCC	LifeLabs	700 Markham Rd.	\N	Scarborough	M1H 2A7	2.16.840.1.113883.3.59.2	ACTIVE
